feature_id,fold,importance
P08123,1,0.028786735276345985
Q7Z353,1,0.026413892849093384
P54289,1,0.021896570557290645
Q9H0F6,1,0.028556219322572476
Q96PB8,1,0.027568866175087737
Q6YHK3,1,0.020789695707041717
P02751,1,0.022342918372106422
P98160,1,0.02400147352133799
Q9BXJ4,1,0.022349361705073227
Q9NU22,1,0.02257779993124068
P26927,1,0.02351164007629294
Q76LX8,1,0.022617969994181905
Q15063,1,0.021218858657577125
P12109,1,0.02173250723176205
P02458,1,0.025986478335163748
P06727,1,0.025781587127711073
Q96A23,1,0.026581722884312993
P04180,1,0.023737816739935032
P08493,1,0.022236255709050298
Q9UNY5,1,0.02891430726332959
Q07869,1,0.030483861611926396
Q16772,1,0.02456770711093036
Q9Y5C1,1,0.026282131148463284
Q9UBP4,1,0.027652420780324642
O95445,1,0.03153998973757471
P08123,2,0.07588987720903044
Q8N6R0,2,0.14917768500121797
P35226,2,0.13760858747052185
Q9Y4Y9,2,0.1520622518384296
Q76LX8,2,0.06127362232802466
Q15063,2,0.08031105411063444
P12109,2,0.08035459163521597
P08603,2,0.0581316730180124
P02458,2,0.0625616008279772
Q96A23,2,0.08594255204854484
P04180,2,0.0774286938071273
Q9UII2,2,0.06720677408565603
P08493,2,0.11072793596522934
Q12805,2,0.07283071302086631
Q07869,2,0.09641783519544532
P17661,2,0.0961522454758594
Q9Y5C1,2,0.08037686713212852
Q9UBM7,2,0.08339564713187544
Q9P0M6,2,0.11040217386251101
Q9H2K0,2,0.13704830611960594
Q9UBP4,2,0.08351435422169252
O95445,2,0.056729780160269305
O14896,2,0.11700140904198549
Q8WY22,2,0.08057597212296365
O96005,2,0.13771905778566018
P04264,3,0.01518186558744024
P08123,3,0.01820468018063234
P15153,3,0.012528505337579994
O95182,3,0.010560662646882765
Q7Z4W1,3,0.010585813753993902
P35527,3,0.01458799945240591
Q9BY44,3,0.01279924966126421
Q7Z353,3,0.015095387968825699
Q96FV9,3,0.012558349045798157
P30043,3,0.013600949331167119
P54289,3,0.01368596233512203
Q12768,3,0.01177574638577227
Q9H0F6,3,0.01644586194581934
Q8IUL8,3,0.013580875360811246
Q5EBM0,3,0.017757025446118797
Q9BWD1,3,0.013954981794225791
P35908,3,0.018837928676086656
Q12769,3,0.012850949323678132
P20339,3,0.01481679405212111
P50583,3,0.011866834497129823
B9A064,3,0.015337066323643178
P60985,3,0.017936380818010304
Q9HB63,3,0.012393575547395078
P35226,3,0.017206009749110792
P37840,3,0.018157767086855205
Q96KG9,3,0.01502033460502932
Q6YHK3,3,0.01184457494855373
P02751,3,0.015074793583162105
P98160,3,0.017061727335195127
P18065,3,0.012457308267406035
Q9H9A6,3,0.012674449927569194
Q92600,3,0.014323210120039745
P30837,3,0.011998367884916029
Q9BXJ4,3,0.015022443721955537
Q96P48,3,0.013462482060087348
P32121,3,0.010722150024699279
Q16853,3,0.01587734124997005
Q9NU22,3,0.01769152531183356
P08253,3,0.014653616497242524
P26927,3,0.014440699995899718
P56134,3,0.014690578643153238
P37173,3,0.016942943172782752
A0A087WV53,3,0.017192231149695307
P01266,3,0.016902712224758577
Q9H553,3,0.013144458872291926
P28676,3,0.01456525198925019
Q92979,3,0.01492800558429389
O14879,3,0.022439548019359913
Q15063,3,0.015274458106802466
P12109,3,0.014832971702895933
P00352,3,0.012388923701710708
P02458,3,0.016343750344538124
P06727,3,0.017283538839412485
O15327,3,0.01534004989187888
Q6N069,3,0.015649241606768553
Q9H2U1,3,0.010731559619066003
Q9NPE3,3,0.014363160002632165
Q8NBF2,3,0.013917808190135156
Q96BW9,3,0.013969697163103924
Q9Y587,3,0.015618415436584121
Q8N5Y2,3,0.014036178137470804
Q96A23,3,0.01424113330784645
Q96GX9,3,0.011387386533049876
P08493,3,0.01655446326793196
Q13362,3,0.012164683863632886
Q12805,3,0.013682228088016541
Q01459,3,0.015968936974480798
Q2PPJ7,3,0.020364671162954776
